Role,Location,Min Salary,Max Salary,Recruiter,Salary_Text,Description
Small Animal Veterinary Surgeon,"Lytham St Annes, Lancashire",2,30000,The Veterinary Health Centre,"Salary of £22,000 to £30,000 for a 2-day week",Looking to be part of a great team with an excellent work-life balance? How about a part-time role two days a week...
Small Animal Veterinary Surgeon,"Lytham St Annes, Lancashire",35000,65000,The Veterinary Health Centre,"Salary of £35,000 for a new graduate, up to £65,000 for more experience",How does a full-time role of only 3 days per week sound?
Small Animal Veterinary Surgeon,Berkshire,35000,60000,Valley Vet Group,"Salary from £35,000 to £60,000",Supportive independent practice in a great location.
Small Animal Veterinary Surgeon,"Whitby, North Yorkshire",40000,60000,The Beck Veterinary Practice,"Salary from £40,000 to £60,000",Fancy having the unique benefit of a practice beach hut thoughtfully stocked with paddleboards and wine?
Mixed Veterinary Surgeon,"Richmond, North Yorkshire",55000,55000,Swale Veterinary Surgery,"Salary up to £55,000","Join us in the beautiful Yorkshire Dales and be part of a truly mixed, independent practice with a varied caseload."
Mixed Veterinary Surgeon,"Fort William, Highland",35000,55000,Ben Nevis Vets,"Salary from £35,000 to £55,000","Time to ditch the stress? Embrace a new, relaxed way of life with stunning views, a supportive team and a fantastic work-life balance..."
Veterinary Surgeon,"Cairns (Suburb), Far North Queensland (AU)",5,155000,Emergency Vets 24/7,"$125,000 to $155,000, overtime paid, 10.5% superannuation, relocation costs and sign on bonus!",Ready for adventure? We have the right job for you. Love your job and relax outdoors alongside the Daintree Rainforest and the Great Barrier Reef.
Mixed Veterinary Surgeon,"Skelton, Penrith",36000,56000,The Green Veterinary Surgery,"Salary from £36,000 to £56,000",If you are looking for a role with a relaxed pace of life then this could be the perfect place for you to put down roots and join our lovely team...
Small Animal Veterinary Surgeon,"Prestatyn, Denbighshire (Sir Ddinbych)",35000,65000,AllPets Veterinary Surgery,"Salary from £35,000 to £65,000","Do you fancy working with a great team, with all the best kit including a CT scanner on the way and where you can enjoy your lunch break on the beach?"
Small Animal Veterinary Surgeon,"Taunton, Somerset",40000,60000,Priory Close Veterinary Practice,"Salary from £40,000 to £60,000","Come and join our close-knit, relaxed, and friendly team..."
Small Animal Veterinary Surgeon,"Scarborough, North Yorkshire",36000,53000,Alma Veterinary Surgery,"Salary from £36,000 to £53,000","Are you looking for a supportive team, in a practice where you can develop your skills and enjoy a better work-life balance?"
Veterinary Surgeon,"Dunoon, Argyll and Bute",50,55000,Bute & Cowal Vets,"Salary from £38,000 to £55,000 plus 50% of OOHs call-out fees",Are you a small or mixed vet looking for a relaxed way of life with beautiful scenery and a great team?
Small Animal Veterinary Surgeon,"Heswall, Wirral",65000,80000,Sanderson Vet,"Salary from £65,000 to £80,000","Do you want to spend more time doing what you love, both at work and outside of it? We've got you covered! Our full-time role is just 3 days a week.."
Veterinary Surgeon,Norfolk,38000,69000,Knotts Yard Veterinary Practice,"Salary £38,000 to £69,000",We are looking for a friendly small animal veterinary surgeon to join our independently owned practice close to the stunning Norfolk coast.
Small Animal Veterinary Surgeon,"Hayle, Cornwall",35000,65000,Animal Veterinary Services,"Salary from £35,000 to £65,000","“Starting my veterinary career with Animal Vets made me the vet I am today!""..."
Small Animal Veterinary Surgeon,"North Walsham, Norfolk",40000,70000,Toll Barn Veterinary Centre,"Salary from £40,000 to £70,000",Toll Barn Vets is a great place to expand your knowledge and enjoy your career with a supportive team and fantastic facilities…
Veterinary Surgeon,"Camarthenshire, United Kingdom",,,Vets4Pets,Competitive Salary,"""Caring, informative and professional"" ""They really care about animals and go that extra mile for both you and your pets"" ""The best vets I have tak..."
Lead Veterinary Surgeon,"Cambridge, United Kingdom",67500,67500,Village Vet,"£67,500 per annum, Up to, depending on experience","Job Title: Lead Veterinary Surgeon Salary: Up to £67.500 (depending on experience) plus 10% bonus scheme Location: Longstanton, North Cambridgeshir..."
Veterinary Surgeon,"The practice is situated in Harold Wood, Romford on the Essex/London border",40000,55000,Lawton & Stoakes Veterinary Practice,"Salary from £40,000 to £55,000 depending on experience","Full time - no out-of-hours duties or telephone calls, no Sun or bank holidays, 5 day week, plus one Saturday in three (10am to 2pm)."
Veterinary Surgeon,"The practice is situated in Harold Wood, Romford on the Essex/London border",40000,55000,Lawton & Stoakes Veterinary Practice,"Salary from £40,000 to £55,000 depending on experience","A 3 day week plus 1 in 3 Saturdays (10am to 2 pm), 20-minute consults with no out-of-hours duties or calls, no Sundays /bank holidays."
Veterinary Surgeon,"Ringwood, Hampshire",75000,75000,Ringwood Vets,"Salary up to £75,000 depending on experience",Ringwood Vets are looking for a dedicated Vet to join their team on a part-time basis.
Veterinary Surgeon - Scunthorpe,Scunthorpe,4000,72000,Medivet,"Salary of £40,00 - £72,000 Per Year","£40,000 - £72,000 per year"
Veterinary Surgeon,"New Malden, United Kingdom",,,Vets4Pets,Competitive Salary,Our busy small animal surgery in New Malden is looking for a personable and experienced Veterinary Surgeon to join our friendly and established tea...
Veterinary Surgeon,"Essex, United Kingdom",,,Vets4Pets,Competitive Salary,Cheryl Lucas is looking for an experienced and confident vet surgeon to join her team in Ilford! This is a fantastic opportunity for an ambitious v...
Veterinary Surgeon,United Kingdom,,,Vets4Pets,Competitive Salary,Join our brand new Tottenham Hale team right from the start and be part of something special! We have recently opened the doors to our state of the...
Veterinary Surgeon,"Winnersh, United Kingdom",,,Vets4Pets,Competitive Salary,"We are looking for an enthusiastic vet to join our team in Winnersh. We are an established practice, and we pride ourselves on our great reputation..."
Veterinary Surgeon,"East Yorkshire, United Kingdom",,,Vets4Pets,Competitive Salary,"Beverley Vets4Pets are growing and are looking for a new, or more, team member to join us to help expand the services we provide to our clients. We..."
Veterinary Surgeon,"Worle, Weston-Super-Mare",70000,70000,Wellpets - Worle,"Salary up to £70,000 FTE depending on experience",We are looking for a confident Small Animal Veterinary Surgeon to join our friendly team at Wellpets Worle.
Veterinary Surgeon,"Bolsover, Chesterfield and Sheffield",35000,60000,Croft Vets,"Salary of £35,000 to £60,000 depending on experience","Veterinary Surgeon required to join our independent, forward thinking, fun practice."
Lead Veterinary Surgeon,"Lydd, United Kingdom",70000,70000,Cinque Ports Vets,"£70,000 per annum, Up to and dependent on experience","Cinque Ports is an RCVS-Accredited Practice with extensive surgical, diagnostic, and medical facilities across 6 sites in the Kent/ East Sussex ar..."
Neurology Clinician,"Wakefield,, United Kingdom",,,Paragon Veterinary Referrals,Attractive Salary plus Benefits,"We are looking for an additional Neurology Specialist to join our busy Neurology and Neurosurgery service at Paragon Veterinary Referrals, a multi..."
"Hospital Veterinary Surgeon (Buckhurst Hill, London)","Buckhurst Hill, United Kingdom",60000,60000,Palmerston Vets Buckhurst Hill,"£60,000 per annum, Up to, depending on experience",Palmerston Veterinary Group is a busy first opinion practice with a long-established support team and client base. We are proud to have joined the...
Veterinary Surgeon,London (Greater),62000,83000,Goddard Veterinary Group,"Salary of £62,000 to £83,000","Are you all about teeth!? This dental only role is ideal for a vet whose passion is just that, working 4 days across 3 sites- no weekends or OOH!"
Senior Veterinary Surgeon,"Tottenham Hale, London (Greater)",62000,83000,Goddard Veterinary Group,"Salary of £62,000-£83,000",Welcome to Tottenham! This practice in the heart of North London is looking for an vet to jump in and take the bull by the horns as a senior vet.
Veterinary Surgeon,"Carlisle, Cumbria",35000,50000,Ashlea Veterinary Centre,"Salary £35,000 to £50,000 FTE depending on experience","Small animal vet committed to excellent & progressive clinical standards in a friendly, first opinion practice with great clients & a supportive team."
Veterinary Surgeon,"King's Lynn, Norfolk",40000,69999,Vets 1 Group,"Salary from £40,000 - £69,999 dependant on experience","Experienced Veterinary Associate. What is a Vets 1 Vet? Put simply, someone who wants to give their patients and clients, the best care possible."
Veterinary Pharmacovigilance Assessor,"Addlestone, Surrey",25,47039,Veterinary Medicines Directorate,"Salary: £42,577 - £47,039 per annum + 25 days Annual leave + Pension Scheme",This exciting and interesting job puts you at the heart of authorising veterinary medicines in the UK.
Lead Veterinary Surgeon,"Melbourn, Royston",60000,75000,Medivet,"£60,000 - £75,000 per year","If you're motivated by a fast-paced environment and leading a great team, this Lead Vet Opportunity may be for you!"
Consult Only Veterinary Surgeon,"Dudley, United Kingdom",60000,60000,Blacks Vets,"£60,000 per annum, Up to and dependent on experience","We are a small animal, first opinion and referral practice with a strong vet team of 16 including 7 Certificate holders, plus a further 6 Vets cur..."
Clinical Director,"Bournemouth, Dorset",75000,75000,Aniwell Veterinary Clinic,"Salary up to £75,000 depending on experience",We are looking for an experienced Veterinary Surgeon to join our team as a full-time Clinical Director.
Veterinary Surgeon - Solihull,"Solihull, West Midlands",65000,70000,Medivet,"Salary £65,000 to £70,000 per year","Veterinary Surgeon - Solihull - Salary £65,000 to £70,000 per year"
Veterinary Surgeon,"Hinckley, Leicestershire",50000,55000,Medivet,"Salary £50,000 to £55,000 per year","Veterinary Surgeon - Hinckley Leicester Rd - Salary £50,000 to £55,000 per year"
Veterinary Surgeon,"Daventry, Northamptonshire",60000,65000,Medivet,"Salary £60,000 to £65,000 per year","Veterinary Surgeon - Daventry - Salary £60,000 to £65,000 per year"
Veterinary Surgeon - Nantwich 24 Hour,"Nantwich, Cheshire",50,75,Medivet,Salary plus bonus package from £50k up to £75k depending on experience.,"Veterinary Surgeon - Nantwich 24 Hour - Salary £50,000 - £75,000 per annum, depending on experience"
Veterinary Surgeon - Shrewsbury 24 Hour,"Shrewsbury, Shropshire",68000,72500,Medivet,"Salary £68,000 to £72,500 per year","Veterinary Surgeon - Shrewsbury 24 Hour - Salary £68,000 to £72,500 per year"
Veterinary Surgeon,"Sussex, United Kingdom",,,Vets4Pets,Competitive Salary,"Are you a forward thinking, motivated vet looking to progress your career within a supportive team? Whatever you're looking for in your veterinary..."
Veterinary Surgeon,"Dorset, United Kingdom",,,Vets4Pets,Competitive Salary,"Poole Vets for Pets is a well-established practice on the south coast, partner owned for 20 years; flourishing with a wide variety of interesting m..."
Weekend Veterinary Surgeon,"Devon, United Kingdom",,,Vets4Pets,Competitive Salary,"Barnstaple Vets for Pets are looking for a veterinary surgeon to join their established, vibrant team on a consult only basis working Saturdays and..."
Veterinary Surgeon,"Wiltshire, United Kingdom",,,Vets4Pets,Competitive Salary,"""We want our team to flourish, as not only does it leave them fulfilled, but it benefits the practice and clients, too. If they have a specific nic..."
Veterinary Surgeon,"Worcestershire, United Kingdom",,,Vets4Pets,Competitive Salary,"At Bromsgrove Vets for Pets, we are proud of our RCVS Practice Standards accreditation and Silver accredited ISFM cat friendly status, but we are a..."
Veterinary Surgeon - Thirsk 24 Hour,"Thirsk, North Yorkshire",55000,55000,Medivet,"Up to £55,000 per year","Up to £55,000 per year"
Veterinary Surgeon,"Ashford, Kent",70000,75000,Barrow Hill Veterinary Centre - Ashford,"Salary from £70,000 to £75,000 depending on experience",Calling all passionate surgery vets! Are you ready for an exciting opportunity? We're looking for a skilled veterinarian to join our team.
Veterinary Surgeon,"Guildford, United Kingdom",65000,65000,Linnaeus,"£65,000 per annum, Salary up to and depending on experience","Alder Veterinary Practice is the flagship primary care practice for Linnaeus. Following a £1.4m investment, we now have a cutting-edge practice to..."
Veterinary Surgeon (Full or Part time),"Sutton, United Kingdom",45000,60000,Maven Veterinary Care,"£45,000 - £60,000 per annum, pro-rata, depending on experience","Maven has vibrant and caring teams who are passionate about their patients and careers. Currently, we have 10 vets, 6 of whom have post-graduate c..."
Experienced Surgical Vet,"Kirkcaldy, United Kingdom",65000,,St Clair Veterinary Group,"£65,000 per annum, From and depending on experience","St Clair Vets are a busy Primary Care, small animal practice, RCVS accredited, with 2 branch surgeries. We are working closely with our in- house..."
Veterinary Surgeon,"Wotton-Under-Edge, Gloucestershire",65000,65000,Rowe Veterinary Group - Wotton-Under-Edge,"Salary up to £65,000 depending on experience",Join The Rowe Veterinary Group as a Veterinary Surgeon and play a pivotal role in delivering exceptional care to our clients and their beloved pets.
Veterinary Surgeon,"Sheffield, South Yorkshire",,,Broomhill Veterinary Practice,Competitive Salary depending on experience,"We are looking for an enthusiastic, experienced vet, competent in all areas of surgery, however we are happy to consider candidates who are..."
Veterinary Surgeon,"Surrey, United Kingdom",,,Vets4Pets,Competitive Salary,"Due to growth and expansion of the team and practice, Dr Lenesa Govender is looking for a friendly, experienced veterinary surgeon to join her team..."
Lead Veterinary Surgeon,"Greater London, United Kingdom",,,Vets4Pets,Competitive Salary,Cheryl Lucas is looking for a confident and experienced Lead Veterinary Surgeon to join her team at Chadwell Heath. Cheryl and Nick offer: - Compet...
Veterinary Surgeon,"Hertfordshire, United Kingdom",,,Vets4Pets,Competitive Salary,"Vets4Pets Watford Century is looking for a veterinary surgeon to join our friendly and established team. This position is for a full-time vet, but..."
Senior Veterinary Surgeon,"Bedford, United Kingdom",,,Vets4Pets,Competitive Salary,We have an unmissable opportunity for an experienced Veterinary Surgeon to join our friendly and supportive team in Bedford Companion Care. We are...
Veterinary Surgeon,"Bedford, United Kingdom",,,Vets4Pets,Competitive Salary,"If you are an enthusiastic vet looking to join a supportive and established team, then we have the role for you, here at Bedford Vets4Pets! You'll..."
Veterinary Surgeon,"Kidderminster, United Kingdom",,,Vets4Pets,Competitive Salary,"""We are a diverse team and cater to different passions, with the space and facilities to really nurture our teams' talents."" Karina (BVetMed MRCVS)..."
Graduate Veterinary Surgeon - Graduate Development Programme,"South Yorkshire, United Kingdom",,,Vets4Pets,Competitive Salary,Get practice ready with Vets for Pets and Companion Care Millhouses Vets for Pets is looking for a new or recently graduated vet to join their team...
Veterinary Surgeon,"West Yorkshire, United Kingdom",,,Vets4Pets,Competitive Salary,"If you're looking for a flexible vet role where you can develop your skills and pursue areas of interest, then we have a great opportunity here for..."
Veterinary Surgeon,"Glasgow, United Kingdom",,,Vets4Pets,Competitive Salary,"Drumchapel Veterinary Surgeon: Full or part time, Salary up to £55k (negotiable DOE), 1 in 3 Saturdays, relocation allowance, Consult-only role als..."
Out-of-Hours Veterinary Surgeon,Carmarthenshire (Sir Gaerfyrddin),,,MiNightVet Emergency Care,Competitive Salary,Are you passionate about ECC or OOH work but looking for a rota pattern to suit you?
Veterinary Surgeon,"Spalding, Lincolnshire",75000,75000,"Riverside Vets, Spalding","Salary up to £75,000 per annum depending on experience","We have a unique opportunity for a full or part-time Veterinary Surgeon to join our long-established friendly team here in Spalding, Lincolnshire."
Village Vet Group - Veterinary Surgeon opportunities,"London, United Kingdom",,,Village Vet,Attractive Salary plus Benefits,: To be recognised as an exceptional and trusted provider of primary veterinary care to our patients and clients within the communities that we ser...
Veterinary Surgeon,"Basildon, United Kingdom",65000,65000,Cherrydown Vets,"£65,000 per annum, Up to and dependent on experience","Cherrydown Vets are a progressive, forward-thinking, premium veterinary group with an excellent reputation thanks to our 60 Vets, Nurses, Patient..."
Veterinary Surgeon - Small Animal,"Beverley, United Kingdom",40000,60000,Norwood Veterinary Group Beverley,"£40,000 - £60,000 per annum, Depending on experience","RCVS PSS Tier 2 Accredited Practice VN Training Practice Well-equipped premises including digital x-ray, ultrasound, endoscopy and in-house labs...."
Veterinary Surgeon - GP,"Leeds, United Kingdom",70000,70000,Abbey House Vets,"£70,000 per annum, Salary up to, plus bonus and Depending on experience",: https://vimeo.com/865914430 Benefits 5 weeks holiday + bank holidays + Birthday Leave RCVS & VDS fees paid CPD allowance and 4 days each year to...
Head of Dentistry and Maxilla-Facial Surgery,"Basildon, United Kingdom",,,Southfields Veterinary Specialists (SFVS),Highly competitive salary,"Southfields Veterinary Specialists are currently recruiting for a Head of Dentistry and Maxilla-Facial Surgery to join our growing team, post our m..."
Veterinary Surgeon,"London, United Kingdom",55000,65000,Village Vet,"£55,000 - £65,000 per annum, Depending on experience","These beautiful clinics in the heart of West London, a short walk from Notting Hill, are looking for a new veterinarian to work alongside an establ..."
Veterinary Surgeon (Branch Vet) - Ramsey & Sawtry,"Ramsey, United Kingdom",55000,,Cromwell Vets,"£55,000 per annum, Salary FTE and depending on experience","Cromwell Vets are a busy 24-hour Primary Care, small animal hospital, RCVS accredited, with 5 branch surgeries and a fabulous physiotherapy/hydrot..."
Veterinary Surgeon,"Glenfield, United Kingdom",50000,,Park Vet Group,"£50,000 per annum, Salary from and depending on experience",https://vimeo.com/834430173 . Your role and responsibilities The role involves consulting and operating in equal measure together with the possibi...
Lead Veterinary Surgeon,"Northampton, United Kingdom",80000,,Spinney Vets,"£80,000 per annum, Depending on experience",Spinney Vets is made up of a 24hour hospital (currently undergoing refurbishments that are due for completion in December 2023) and nearby branch...
Lead Veterinary Surgeon,"Royston, United Kingdom",67500,67500,Village Vet,"£67,500 per annum, Up to, depending on experience","""To be recognized as an exceptional and trusted provider of primary veterinary care to our patients and clients within the communities that we ser..."
Clinician in Diagnostic Imaging,"Basildon, United Kingdom",,,Southfields Veterinary Specialists (SFVS),Negotiable depending on experience,Southfields is the new name in referral services. It's a very exciting time to join a forward-thinking and highly motivated team that has the Linn...
Veterinary Surgeon (part time),"Cambridge, United Kingdom",27500,,Village Vet,"£27,500 per annum, Pro rata'd from FTE",: ' To be recognised as an exceptional and trusted provider of primary veterinary care to our patients and clients within the communities that we s...
Veterinary Surgeon,"Berkhamsted, United Kingdom",65000,65000,Village Vet,"£65,000 per annum, Up to, depending on experience",To be recognised as an exceptional and trusted provider of primary veterinary care to our patients and clients within the communities that we serv...
Dermatology Clinician,"Winchester, United Kingdom",,,Anderson Moores Veterinary Specialists (AMVS),Negotiable depending on experience,"is to be the south of England's multi-disciplinary veterinary referral hospital of choice, where referring vets, clients and their pets receive th..."
Veterinary Surgeon,"Bushey, United Kingdom",60000,60000,Blythwood Vets,"£60,000 per annum, Up to, depending on experience",Excellent Veterinary Surgeon position available at our Blythwood Group. No Out of Hours! Full or Part time applications considered. We are a group...
Veterinary Surgeon,Beautiful South Wales,30000,60000,Maes Glas Veterinary Group,"Salary of £30,000 to £60,000",Experienced small animal vet wanted for full or part-time work to manage and oversee the day- to day clinical case load at one of our branches.
Veterinary Surgeon,"Somerset, United Kingdom",,,Vets4Pets,Competitive Salary,Due to growth our small animal practice in Clevedon is currently looking to recruit for a part time Veterinary Surgeon to join our busy small anima...
Veterinary Surgeon,"Cardiff, United Kingdom",,,Vets4Pets,Competitive Salary,An unmissable opportunity within a successful longstanding practice. A part-time role to share the Saturday rota with flexibility on the hours/days...
Veterinary Surgeon,"Norfolk, United Kingdom",,,Vets4Pets,Competitive Salary,Are you looking for a new clinical challenge within a practice with state-of-the-art equipment? Would you like to have a varied and interesting cas...
Veterinary Surgeon,Somerset,45000,45000,Evolution Vets Ltd,"Salary up to £45,000 per annum plus benefits",We are looking for an ambulatory large animal vet with an Equine bias and some experience.
Veterinary Surgeon,"Rugeley, United Kingdom",5000,65000,Donnachie & Townley Veterinary Centre,"£65,000 per annum, £5,000 welcome bonus and salary up to","Both sites are situated in beautiful market towns, just a short 50-minute drive away from the bustling city of Birmingham. We love the fact that w..."
Veterinary Surgeon,"Cornwall, United Kingdom",,,Vets4Pets,Competitive Salary,"Are you a small animal vet keen to develop your skills within a growing practice, whilst also working in the beautiful county of Cornwall? Owner an..."
Veterinary Surgeon,"Kent, United Kingdom",,,Vets4Pets,Competitive Salary,"Companion Care Vets in Folkestone is looking for an additional Weekend Vet to join our team! Due to practice growth over the last few months, we ar..."
Veterinary Surgeon,"Kent, United Kingdom",,,Vets4Pets,Competitive Salary,Ashford Companion Care is looking for an experienced weekend Vet to join their growing team. You will be part of a friendly and supportive team mad...
Veterinary Surgeon,"Hove, United Kingdom",,,Vets4Pets,Competitive Salary,"""Always friendly, knowledgeable, unhurried and gentle with my dog. Thank you!"" Our clients love us and we think you will too! An exciting opportuni..."
Veterinary Surgeon,"Kent, United Kingdom",,,Vets4Pets,Competitive Salary,Shelly and Craig are recruiting for a personable and confident veterinary surgeon to join their team based in the beautiful cathedral city of Cante...
Veterinary Surgeon,"New Malden, United Kingdom",,,Vets4Pets,Competitive Salary,Our busy small animal surgery in New Malden is looking for a personable and experienced Veterinary Surgeon to join our friendly and established tea...
Veterinary Surgeon,"Gloucester, United Kingdom",70000,70000,Vets4Pets,"Salary up to £70,000 depending on experience plus welcome bonus plus relocation allowance","Having now completed a new extension, our busy RCVS practice standards accredited GP practice in Gloucester is seeking an experienced vet to join o..."
Veterinary Surgeon,"North Tyneside, United Kingdom",,,Vets4Pets,Competitive Salary,Are you an experienced Veterinary Surgeon with a passion for Diagnostic imaging and would like to work in a practice that will encourage and suppor...
Veterinary Surgeon,"Fradley, Lichfield",40000,40000,Pool House Equine Hospital,"Salary £40,000 per annum",We have an exciting opportunity for a full-time equine sport medicine and rehabilitation resident to join our purpose-built hospital in the UK.
Lead Veterinary Surgeon,"Stone, United Kingdom",5000,70000,Shires Vets,"£70,000 per annum, £5,000 welcome bonus and salary up to depending on experience","Shires Vets was established over 70 years ago serving Staffordshire and the surrounding counties in the Midlands, with sites in Eccleshall, Gnosal..."
Veterinary Surgeon,"Hampshire, United Kingdom",,,Vets4Pets,Competitive Salary,Looking for a new opportunity in Portsmouth? Keen to develop and take on a new challenge? We have an unmissable opportunity for a Veterinary surgeo...
Veterinary Surgeon,"Suffolk, United Kingdom",,,Vets4Pets,Competitive Salary,Ipswich Vets4Pets are looking for a Vet to join them on a full or part time basis. We are a practice that places emphasis on each team member feeli...
Veterinary Surgeon,"Warwickshire, United Kingdom",,,Vets4Pets,Competitive Salary,Our vision is to be every pet owner's first choice for veterinary care in Rugby. We keep our clients at the centre of the discussion to ensure we o...
Veterinary Surgeon,"Longton, United Kingdom",,,Vets4Pets,Competitive Salary,Are you looking for a practice where you can thrive and continue to develop your career? Do you want to let your passion for pets and best practice...
Veterinary Surgeon - Orrell Park,"Orrell Park, Liverpool",55000,55000,Medivet,"Salary package up to £55,000, dependent on experience",Vet Surgeon - multi vet practice with Branch Partner Andy. Experienced team and loyal client base. Full time 4 day week - salary up to 55k
Small Animal Veterinary Surgeon (Orthopaedics) - Liverpool,"Liverpool, Merseyside",70000,70000,Medivet,"Salary up to £70,000 depending on experience",An exciting opportunity has arisen for a Surgical Certificate holder - full time - salary 70k
"Night Veterinary Surgeon - Ashton 24 Hour, Greater Manchester","Tameside, Greater Manchester",,,Medivet,Competitive Salary + Benefits + Night Commission,Night Vet Surgeon - 3 nights on 25 nights off rota. Ashton 24 Hour - experienced dedicated night team looking for their last team member
Clinical Lead Veterinary Surgeon,"Cornwall, United Kingdom",,,Vets4Pets,Competitive Salary,"Are you ready for the next step in your career as an experienced Small Animal Vet? Are you passionate about people and their pets, with a wealth of..."
Veterinary Surgeon,"Cornwall, United Kingdom",,,Vets4Pets,Competitive Salary,"Our RCVS accredited small animal training practice in Cornwall, Truro Vets4Pets has an excellent opportunity for a veterinary surgeon to join our i..."
Veterinary Surgeon,"Dorset, United Kingdom",,,Vets4Pets,Competitive Salary,"At Weymouth Vets for Pets, we believe that you can have it all. From a fulfilling career with supportive colleagues, through to an idyllic hometown..."
Veterinary Surgeon,"Hampshire, United Kingdom",,,Vets4Pets,Competitive Salary,"Due to continued growth at New Milton Vets for Pets, we are pleased to say we have an opening for a small animal vet for our friendly, family run p..."
Veterinary Surgeon,"Hampshire, United Kingdom",,,Vets4Pets,Competitive Salary,We are looking for an experienced Veterinary Surgeon to join our wonderful colleagues at our Bitterne Practice on a full-time or part time basis. A...
Veterinary Surgeon,"Hampshire, United Kingdom",,,Vets4Pets,Competitive Salary,"Southampton Companion Care is a well-established practice, partner owned for 15 years; flourishing with a wide variety of interesting medical and s..."
Veterinary Surgeon,"Hertfordshire, United Kingdom",,,Vets4Pets,Competitive Salary,Our team is growing and we now have an exciting opportunity in our established small animal practice based in Hemel Hempstead for a Veterinary Surg...
